GEOID,NAME,ABBR,year,indicator_id,category,dimension,indicator_label,value_pwd,value_pwod,value_raw,direction,transform,weight,source_status,notes,value_transformed,value_winsor,z_score,score_100_unadjusted,score_100
30,Montana,MT,2024,rel_score_home,CL,relative,Living at Home: Relative,92.73210221973513,NA,92.73210221973513,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.73210221973513,92.73210221973513,-0.15142565298996755,43.98199773114021,43.98199773114021
31,Nebraska,NE,2024,rel_score_home,CL,relative,Living at Home: Relative,92.59715459868292,NA,92.59715459868292,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.59715459868292,92.59715459868292,-0.22695077042297623,41.02310114052285,41.02310114052285
32,Nevada,NV,2024,rel_score_home,CL,relative,Living at Home: Relative,96.97347812784088,NA,96.97347812784088,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,96.97347812784088,96.97347812784088,2.2223132172439755,98.6868927232385,98.6868927232385
33,New Hampshire,NH,2024,rel_score_home,CL,relative,Living at Home: Relative,91.53629203933028,NA,91.53629203933028,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.53629203933028,91.53629203933028,-0.8206757190413347,20.591550245578137,20.591550245578137
34,New Jersey,NJ,2024,rel_score_home,CL,relative,Living at Home: Relative,93.85259495657192,NA,93.85259495657192,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.85259495657192,93.85259495657192,0.4756720673892173,68.28459880880298,68.28459880880298
35,New Mexico,NM,2024,rel_score_home,CL,relative,Living at Home: Relative,95.21677272490558,NA,95.21677272490558,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,95.21677272490558,95.21677272490558,1.2391511517151397,89.23552366032226,89.23552366032226
36,New York,NY,2024,rel_score_home,CL,relative,Living at Home: Relative,91.379034373762,NA,91.379034373762,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.379034373762,91.379034373762,-0.9086869308484,18.17577023686173,18.17577023686173
37,North Carolina,NC,2024,rel_score_home,CL,relative,Living at Home: Relative,94.07484697553924,NA,94.07484697553924,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.07484697553924,94.07484697553924,0.6000581788400952,72.57662685324395,72.57662685324395
38,North Dakota,ND,2024,rel_score_home,CL,relative,Living at Home: Relative,89.38016270693015,NA,89.38016270693015,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,89.38016270693015,89.38016270693015,-2.027380363114145,2.131176429575839,2.131176429575839
39,Ohio,OH,2024,rel_score_home,CL,relative,Living at Home: Relative,92.68417923628424,NA,92.68417923628424,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.68417923628424,92.68417923628424,-0.17824634775025755,42.92647561196492,42.92647561196492
40,Oklahoma,OK,2024,rel_score_home,CL,relative,Living at Home: Relative,93.83653688107393,NA,93.83653688107393,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.83653688107393,93.83653688107393,0.46668496536935294,67.96373560433722,67.96373560433722
41,Oregon,OR,2024,rel_score_home,CL,relative,Living at Home: Relative,92.69315887787354,NA,92.69315887787354,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.69315887787354,92.69315887787354,-0.1732207794575322,43.123894544298224,43.123894544298224
42,Pennsylvania,PA,2024,rel_score_home,CL,relative,Living at Home: Relative,91.953331936874,NA,91.953331936874,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.953331936874,91.953331936874,-0.5872741444848315,27.85098015287324,27.85098015287324
44,Rhode Island,RI,2024,rel_score_home,CL,relative,Living at Home: Relative,90.37875764821013,NA,90.37875764821013,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,90.37875764821013,90.37875764821013,-1.4685042627418226,7.0983649596041,7.0983649596041
45,South Carolina,SC,2024,rel_score_home,CL,relative,Living at Home: Relative,94.625102470785,NA,94.625102470785,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.625102470785,94.625102470785,0.9080155223824206,81.80649896582189,81.80649896582189
46,South Dakota,SD,2024,rel_score_home,CL,relative,Living at Home: Relative,87.49869978582734,NA,87.49869978582734,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,87.49869978582734,87.49869978582734,-3.0803645280381753,0.10337369225526025,0.10337369225526025
47,Tennessee,TN,2024,rel_score_home,CL,relative,Living at Home: Relative,94.56995478156516,NA,94.56995478156516,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.56995478156516,94.56995478156516,0.8771514310259976,80.97978036850523,80.97978036850523
48,Texas,TX,2024,rel_score_home,CL,relative,Living at Home: Relative,94.0510648592337,NA,94.0510648592337,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.0510648592337,94.0510648592337,0.5867482211485362,72.13135916613832,72.13135916613832
49,Utah,UT,2024,rel_score_home,CL,relative,Living at Home: Relative,94.69093913797938,NA,94.69093913797938,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.69093913797938,94.69093913797938,0.9448618334361782,82.7635290525321,82.7635290525321
50,Vermont,VT,2024,rel_score_home,CL,relative,Living at Home: Relative,90.66260878558592,NA,90.66260878558592,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,90.66260878558592,90.66260878558592,-1.3096434372108097,9.51582433226578,9.51582433226578
51,Virginia,VA,2024,rel_score_home,CL,relative,Living at Home: Relative,93.88725320700227,NA,93.88725320700227,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.88725320700227,93.88725320700227,0.4950689890493812,68.97242884751842,68.97242884751842
53,Washington,WA,2024,rel_score_home,CL,relative,Living at Home: Relative,94.025443572363,NA,94.025443572363,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.025443572363,94.025443572363,0.5724089487359754,71.64775226408983,71.64775226408983
54,West Virginia,WV,2024,rel_score_home,CL,relative,Living at Home: Relative,94.5550437026956,NA,94.5550437026956,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.5550437026956,94.5550437026956,0.8688062599596572,80.75234457180407,80.75234457180407
55,Wisconsin,WI,2024,rel_score_home,CL,relative,Living at Home: Relative,92.60518738550216,NA,92.60518738550216,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.60518738550216,92.60518738550216,-0.22245512119917163,41.197980303157294,41.197980303157294
56,Wyoming,WY,2024,rel_score_home,CL,relative,Living at Home: Relative,94.64756621460904,NA,94.64756621460904,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.64756621460904,94.64756621460904,0.920587636489122,82.13671202448016,82.13671202448016
72,Puerto Rico,PR,2024,rel_score_home,CL,relative,Living at Home: Relative,NA,NA,NA,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,NA,NA,NA,NA,NA
000,United States,USA,2024,eq_score_home,CL,equity,Living at Home: Equity,93.2272772565292,98.2381403327522,5.010863076222989,lower_better,none,1,acs_ready,NA,5.010863076222989,5.010863076222989,-0.01156653897957458,49.53857214501065,50.46142785498935
01,Alabama,AL,2024,eq_score_home,CL,equity,Living at Home: Equity,94.44834126502327,97.8540590775011,3.4057178124778176,lower_better,none,1,acs_ready,NA,3.4057178124778176,3.4057178124778176,-1.0090862428353895,15.646663756061349,84.35333624393866
02,Alaska,AK,2024,eq_score_home,CL,equity,Living at Home: Equity,93.55161212894984,96.17446698464796,2.622854855698108,lower_better,none,1,acs_ready,NA,2.622854855698108,2.622854855698108,-1.495597490412145,6.737928876706045,93.26207112329396
04,Arizona,AZ,2024,eq_score_home,CL,equity,Living at Home: Equity,94.8501376503997,98.29458872950292,3.4444510791032315,lower_better,none,1,acs_ready,NA,3.4444510791032315,3.4444510791032315,-0.9850154016933228,16.230825285452465,83.76917471454753
05,Arkansas,AR,2024,eq_score_home,CL,equity,Living at Home: Equity,94.98973373058251,97.80151377188196,2.8117800412994427,lower_better,none,1,acs_ready,NA,2.8117800412994427,2.8117800412994427,-1.3781896772699027,8.40723667609689,91.59276332390311
06,California,CA,2024,eq_score_home,CL,equity,Living at Home: Equity,92.65770112711913,98.4834846776842,5.8257835505650775,lower_better,none,1,acs_ready,NA,5.8257835505650775,5.8257835505650775,0.49486689641871445,68.96529603299541,31.03470396700459
08,Colorado,CO,2024,eq_score_home,CL,equity,Living at Home: Equity,93.03999916479415,98.52543915420776,5.485439989413578,lower_better,none,1,acs_ready,NA,5.485439989413578,5.485439989413578,0.28335992817277067,61.15495286300787,38.84504713699213
09,Connecticut,CT,2024,eq_score_home,CL,equity,Living at Home: Equity,91.22856785410544,98.03510875625788,6.80654090215242,lower_better,none,1,acs_ready,NA,6.80654090215242,6.80654090215242,1.1043598843786726,86.5281472410773,13.471852758922694
10,Delaware,DE,2024,eq_score_home,CL,equity,Living at Home: Equity,94.65600325569817,98.23849758825064,3.5824943325525,lower_better,none,1,acs_ready,NA,3.5824943325525,3.5824943325525,-0.8992282343819232,18.42655521090509,81.5734447890949
11,District of Columbia,DC,2024,eq_score_home,CL,equity,Living at Home: Equity,89.29249636252004,95.73489730384098,6.44240094132094,lower_better,none,1,acs_ready,NA,6.44240094132094,6.44240094132094,0.8780646112373675,81.00456717935953,18.99543282064047
12,Florida,FL,2024,eq_score_home,CL,equity,Living at Home: Equity,93.83130178467904,98.5365411699504,4.705239385271355,lower_better,none,1,acs_ready,NA,4.705239385271355,4.705239385271355,-0.20149679674208637,42.01550669495266,57.98449330504734
13,Georgia,GA,2024,eq_score_home,CL,equity,Living at Home: Equity,94.60674137219534,98.20244241729822,3.595701045102871,lower_better,none,1,acs_ready,NA,3.595701045102871,3.595701045102871,-0.8910209049334862,18.645897766280527,81.35410223371947
15,Hawaii,HI,2024,eq_score_home,CL,equity,Living at Home: Equity,93.0966776497088,97.83807978728672,4.741402137577907,lower_better,none,1,acs_ready,NA,4.741402137577907,4.741402137577907,-0.1790234052140969,42.89596619333241,57.10403380666759
16,Idaho,ID,2024,eq_score_home,CL,equity,Living at Home: Equity,94.03616653878524,97.98978090965626,3.953614370871009,lower_better,none,1,acs_ready,NA,3.953614370871009,3.953614370871009,-0.6685951826077321,25.187687321531328,74.81231267846867
17,Illinois,IL,2024,eq_score_home,CL,equity,Living at Home: Equity,92.33401663923912,98.5091529387903,6.17513629955117,lower_better,none,1,acs_ready,NA,6.17513629955117,6.17513629955117,0.7119726366784611,76.17591396837007,23.824086031629932
18,Indiana,IN,2024,eq_score_home,CL,equity,Living at Home: Equity,93.1529762623374,98.11615815096862,4.963181888631226,lower_better,none,1,acs_ready,NA,4.963181888631226,4.963181888631226,-0.04119807775697726,48.35689930505577,51.64310069494423
19,Iowa,IA,2024,eq_score_home,CL,equity,Living at Home: Equity,90.5347821549219,97.89484566868629,7.360063513764388,lower_better,none,1,acs_ready,NA,7.360063513764388,7.360063513764388,1.4483472630190175,92.62400220977258,7.375997790227416
20,Kansas,KS,2024,eq_score_home,CL,equity,Living at Home: Equity,91.04185826373188,98.05425330084864,7.012395037116761,lower_better,none,1,acs_ready,NA,7.012395037116761,7.012395037116761,1.232288216091162,89.10792799466232,10.89207200533768
21,Kentucky,KY,2024,eq_score_home,CL,equity,Living at Home: Equity,94.42442768882876,97.99055046017222,3.5661227713434585,lower_better,none,1,acs_ready,NA,3.5661227713434585,3.5661227713434585,-0.909402363326986,18.156888738689887,81.84311126131011
22,Louisiana,LA,2024,eq_score_home,CL,equity,Living at Home: Equity,94.194572598965,97.94498604156252,3.750413442597519,lower_better,none,1,acs_ready,NA,3.750413442597519,3.750413442597519,-0.7948746754192798,21.334320342107667,78.66567965789233
23,Maine,ME,2024,eq_score_home,CL,equity,Living at Home: Equity,92.08169619877404,98.05614009444908,5.974443895675051,lower_better,none,1,acs_ready,NA,5.974443895675051,5.974443895675051,0.5872520697601017,72.14827868014166,27.851721319858346
24,Maryland,MD,2024,eq_score_home,CL,equity,Living at Home: Equity,93.15180072996972,98.56808547830045,5.416284748330725,lower_better,none,1,acs_ready,NA,5.416284748330725,5.416284748330725,0.2403833096927144,59.49834420658719,40.50165579341281
25,Massachusetts,MA,2024,eq_score_home,CL,equity,Living at Home: Equity,91.44355283046362,97.27278184865096,5.829229018187334,lower_better,none,1,acs_ready,NA,5.829229018187334,5.829229018187334,0.4970080869513265,69.04083257270952,30.95916742729048
26,Michigan,MI,2024,eq_score_home,CL,equity,Living at Home: Equity,93.76993211734876,98.5842717552025,4.81433963785372,lower_better,none,1,acs_ready,NA,4.81433963785372,4.81433963785372,-0.1336962966224702,44.682136686998184,55.317863313001816
27,Minnesota,MN,2024,eq_score_home,CL,equity,Living at Home: Equity,90.14870190296146,98.62445328507164,8.475751382110175,lower_better,none,1,acs_ready,NA,8.475751382110175,8.475751382110175,2.141693003846933,98.3890902963064,1.6109097036936078
28,Mississippi,MS,2024,eq_score_home,CL,equity,Living at Home: Equity,94.25101658232347,97.52213736208542,3.2711207797619295,lower_better,none,1,acs_ready,NA,3.2711207797619295,3.2711207797619295,-1.0927317515922466,13.72557972773312,86.27442027226688
29,Missouri,MO,2024,eq_score_home,CL,equity,Living at Home: Equity,92.98939097705872,98.1563556401113,5.166964663052582,lower_better,none,1,acs_ready,NA,5.166964663052582,5.166964663052582,0.08544300413327773,53.40453971061552,46.59546028938448
30,Montana,MT,2024,eq_score_home,CL,equity,Living at Home: Equity,92.73210221973513,98.19833437572008,5.46623215598494,lower_better,none,1,acs_ready,NA,5.46623215598494,5.46623215598494,0.2714231940053337,60.696721743824966,39.303278256175034
31,Nebraska,NE,2024,eq_score_home,CL,equity,Living at Home: Equity,92.59715459868292,98.32893692594882,5.73178232726589,lower_better,none,1,acs_ready,NA,5.73178232726589,5.73178232726589,0.436449708550803,66.87447599419605,33.12552400580395
32,Nevada,NV,2024,eq_score_home,CL,equity,Living at Home: Equity,96.97347812784088,99.16792834469412,2.194450216853255,lower_better,none,1,acs_ready,NA,2.194450216853255,2.194450216853255,-1.761830134972855,3.9049000797618216,96.09509992023818
33,New Hampshire,NH,2024,eq_score_home,CL,equity,Living at Home: Equity,91.53629203933028,97.94975999910366,6.413467959773385,lower_better,none,1,acs_ready,NA,6.413467959773385,6.413467959773385,0.8600841705651984,80.5128676852179,19.4871323147821
34,New Jersey,NJ,2024,eq_score_home,CL,equity,Living at Home: Equity,93.85259495657192,98.72096984072412,4.868374884152175,lower_better,none,1,acs_ready,NA,4.868374884152175,4.868374884152175,-0.10011601943332268,46.01261087806182,53.98738912193818
35,New Mexico,NM,2024,eq_score_home,CL,equity,Living at Home: Equity,95.21677272490558,98.54571870473823,3.3289459798326533,lower_better,none,1,acs_ready,NA,3.3289459798326533,3.3289459798326533,-1.0567962024847677,14.530230391427695,85.4697696085723
36,New York,NY,2024,eq_score_home,CL,equity,Living at Home: Equity,91.379034373762,97.6770993040014,6.298064930239391,lower_better,none,1,acs_ready,NA,6.298064930239391,6.298064930239391,0.788366801150159,78.47589080245406,21.52410919754594
37,North Carolina,NC,2024,eq_score_home,CL,equity,Living at Home: Equity,94.07484697553924,97.93939139750026,3.864544421961014,lower_better,none,1,acs_ready,NA,3.864544421961014,3.864544421961014,-0.7239478233100729,23.45488841764504,76.54511158235496
38,North Dakota,ND,2024,eq_score_home,CL,equity,Living at Home: Equity,89.38016270693015,97.3608700878814,7.980707380951259,lower_better,none,1,acs_ready,NA,7.980707380951259,7.980707380951259,1.83404723708346,96.66765087269523,3.3323491273047665
39,Ohio,OH,2024,eq_score_home,CL,equity,Living at Home: Equity,92.68417923628424,98.4025533227858,5.718374086501555,lower_better,none,1,acs_ready,NA,5.718374086501555,5.718374086501555,0.42811713912013366,66.5717080398648,33.4282919601352
40,Oklahoma,OK,2024,eq_score_home,CL,equity,Living at Home: Equity,93.83653688107393,97.79172037843014,3.9551834973562303,lower_better,none,1,acs_ready,NA,3.9551834973562303,3.9551834973562303,-0.6676200468227015,25.21880789688741,74.78119210311259
41,Oregon,OR,2024,eq_score_home,CL,equity,Living at Home: Equity,92.69315887787354,98.55867262113298,5.8655137432594415,lower_better,none,1,acs_ready,NA,5.8655137432594415,5.8655137432594415,0.5195572786201027,69.83139096111996,30.168609038880035
42,Pennsylvania,PA,2024,eq_score_home,CL,equity,Living at Home: Equity,91.953331936874,97.53802763777652,5.584695700902529,lower_better,none,1,acs_ready,NA,5.584695700902529,5.584695700902529,0.3450425248615242,63.4968799310192,36.5031200689808
